,ORI,DATA_YEAR,POPULATION
724,CA0010500,2013,224475
725,CA0010500,2012,218927
726,CA0010500,2011,216606
727,CA0010500,2010,214089
728,CA0010500,2009,202714
729,CA0010500,2008,200964
730,CA0010700,2017,90485
731,CA0010700,2016,89553
732,CA0010700,2015,88316
733,CA0010700,2014,86147
734,CA0010700,2013,84350
735,CA0010700,2012,82800
736,CA0010700,2011,81920
737,CA0010700,2010,80968
738,CA0010700,2009,80915
739,CA0010700,2008,80258
740,CA0010800,2017,46360
741,CA0010800,2016,45893
742,CA0010800,2015,45258
743,CA0010800,2014,44467
744,CA0010800,2013,43950
745,CA0010800,2012,43539
746,CA0010800,2011,43073
747,CA0010800,2010,42573
748,CA0010800,2009,41685
749,CA0010800,2008,41558
750,CA0010900,2017,424915
751,CA0010900,2016,424998
752,CA0010900,2015,419481
753,CA0010900,2014,409994
754,CA0010900,2013,403887
755,CA0010900,2012,399487
756,CA0010900,2011,395317
757,CA0010900,2010,390724
758,CA0010900,2009,404553
759,CA0010900,2008,401587
760,CA0011000,2017,11464
761,CA0011000,2016,11515
762,CA0011000,2015,11372
763,CA0011000,2014,11170
764,CA0011000,2013,10963
765,CA0011000,2012,10909
766,CA0011000,2011,10792
767,CA0011000,2010,10667
768,CA0011000,2009,10427
769,CA0011000,2008,10417
770,CA0190200,2017,58883
771,CA0190200,2016,58816
772,CA0190200,2015,58694
773,CA0190200,2014,57950
774,CA0190200,2013,57855
775,CA0190200,2012,57295
776,CA0190200,2011,57027
777,CA0190200,2010,56364
778,CA0190200,2009,56596
779,CA0190200,2008,56605
780,CA0190500,2017,50202
781,CA0190500,2016,50393
782,CA0190500,2015,49431
783,CA0190500,2014,48224
784,CA0190500,2013,47754
785,CA0190500,2012,47111
786,CA0190500,2011,46906
787,CA0190500,2010,46361
788,CA0190500,2009,47078
789,CA0190500,2008,46840
790,CA0190800,2017,77984
791,CA0190800,2016,78806
792,CA0190800,2015,78635
793,CA0190800,2014,77830
794,CA0190800,2013,77594
795,CA0190800,2012,77886
796,CA0190800,2011,77517
797,CA0190800,2010,76616
798,CA0190800,2009,73038
799,CA0190800,2008,73488
800,CA0190R00,2017,0
801,CA0190R00,2016,0
802,CA0190R00,2015,0
803,CA0190R00,2014,0
804,CA0190R00,2013,0
805,CA0190R00,2012,0
806,CA0190R00,2011,0
807,CA0190R00,2010,0
808,CA0190R00,2009,0
809,CA0190R00,2008,0
810,CA0190X0X,2017,8476
811,CA0190X0X,2016,8547
812,CA0190X0X,2015,8522
813,CA0190X0X,2014,8452
814,CA0190X0X,2013,8440
815,CA0190X0X,2012,8406
816,CA0190X0X,2011,8367
817,CA0190X0X,2010,8270
818,CA0190X0X,2009,8479
819,CA0190X0X,2008,8516
820,CA0191000,2017,34781
821,CA0191000,2016,35018
822,CA0191000,2015,35054
823,CA0191000,2014,34788
824,CA0191000,2013,34780
825,CA0191000,2012,34677
826,CA0191000,2011,34510
827,CA0191000,2010,34109
828,CA0191000,2009,34506
829,CA0191000,2008,34684
830,CA0191200,2017,104622
